box_id,year,month,sst_mean_monthly
-39_147,2012,3,17.727822149953536
-39_147,2012,4,17.232666333516438
-39_147,2012,5,15.851935132857292
-39_147,2012,6,14.334499669075011
-39_147,2012,7,13.270483578405072
-39_147,2012,8,12.416451331107847
-39_147,2012,9,12.67249968846639
-39_147,2012,10,13.358951360948625
-39_147,2012,11,14.56941635608673
-39_147,2012,12,16.04838668146441
-39_147,2013,1,17.609515820780107
-39_147,2013,2,18.979374613080704
-39_147,2013,3,18.857015748177805
-39_147,2013,4,17.90691630045573
-39_147,2013,5,16.180886768525646
-39_147,2013,6,14.554083013534546
-39_147,2013,7,13.711290013405584
-39_147,2013,8,13.539838390965615
-39_147,2013,9,13.754749695460001
-39_147,2013,10,14.007822275161743
-39_147,2013,11,14.87924968401591
-39_147,2013,12,16.19701567772896
-39_147,2014,1,17.417015814012096
-39_147,2014,2,18.745892439569747
-39_147,2014,3,18.078870588733302
-39_147,2014,4,17.640166266759238
-39_147,2014,5,16.472822189331055
-39_147,2014,6,15.196749663352966
-39_147,2014,7,13.630483573482882
-39_147,2014,8,13.154435150084957
-39_147,2014,9,12.975833050409953
-39_147,2014,10,13.818306107674875
-39_147,2014,11,15.025249663988749
-39_147,2014,12,16.394273865607477
-39_147,2015,1,17.535886641471617
